* Site   Longitude  Latitude   Ve   dVe    Vn   dVn   Cen      Vu  dVu  (mm/yr)
PJZX_CGP -115.8837   32.4170 -26.56 0.10  26.19 0.10  0.000  -0.30 0.30
PSAP_CGP -116.4940   33.8192 -13.31 0.10  16.17 0.10  0.000  -0.30 0.20
PVRS_CGP -118.3206   33.7739 -27.69 0.10  28.40 0.10  0.000  -0.30 0.10
REP4_CGP -116.4661   36.8491  -2.88 0.10   0.36 0.10  0.000  -0.30 0.30
SCIA_CGP -117.3883   34.6074 -12.03 0.10  13.53 0.10  0.000  -0.30 0.10
SIO3_CGP -117.2504   32.8647 -27.68 0.10  27.49 0.10  0.000  -0.30 0.30
SKUL_CGP -116.2106   36.7305  -2.98 0.10   0.29 0.10  0.000  -0.30 0.10
UCLP_CGP -118.4419   34.0691 -26.24 0.10  25.44 0.10  0.000  -0.30 0.10
ANA1_CGP -119.3635   34.0150 -29.34 0.10  31.20 0.30  0.000  -0.20 0.30
ASHM_CGP -116.1394   36.3459  -2.75 0.10   0.47 0.10  0.000  -0.20 0.30
BBDM_CGP -119.9815   34.5822 -29.39 0.20  30.08 0.10  0.000  -0.20 0.20
CRHS_CGP -118.2728   33.8235 -27.17 0.10  27.99 0.10  0.000  -0.20 0.20
CRRS_CGP -115.7350   33.0698 -13.21 0.10  17.75 0.10  0.000  -0.20 0.10
CRU1_CGP -119.7848   34.0293 -29.98 0.10  33.22 0.10  0.000  -0.20 0.10
DAM2_CGP -118.3969   34.3348 -24.48 0.10  22.62 0.10  0.000  -0.20 0.30
EWPP_CGP -117.5256   34.1042 -22.35 0.10  21.47 0.10  0.000  -0.20 0.10
GMRC_CGP -115.6602   34.7840  -3.03 0.10   0.43 0.10  0.000  -0.20 0.10
HELB_CGP -119.0230   36.6788  -9.17 0.20   9.20 0.30  0.000  -0.20 0.40
OGHS_CGP -117.0418   33.1306 -26.61 0.10  27.23 0.10  0.000  -0.20 0.30
P474_CGP -117.2487   33.3552 -26.08 0.10  26.29 0.10  0.000  -0.20 0.10
P483_CGP -116.5693   33.0592 -26.38 0.10  25.59 0.10  0.000  -0.20 0.20
P500_CGP -115.2999   32.6900  -5.35 0.10   8.62 0.10  0.000  -0.20 0.10
P510_CGP -115.3433   33.1436  -3.46 0.10   2.33 0.10  0.000  -0.20 0.10
P530_CGP -120.4804   35.6248 -25.03 0.10  30.92 0.10  0.000  -0.20 0.10
P575_CGP -117.5422   34.2155 -21.32 0.10  19.68 0.20  0.000  -0.20 0.20
P579_CGP -118.0058   35.0388  -9.20 0.10  13.11 0.10  0.000  -0.20 0.10
P741_CGP -116.5310   33.5575 -17.87 0.10  18.58 0.10  0.000  -0.20 0.20
PMOB_CGP -116.8595   33.3572 -24.84 0.10  25.18 0.10  0.000  -0.20 0.10
POIN_CGP -116.1198   36.5796  -2.80 0.10   0.26 0.10  0.000  -0.20 0.20
PSTX_CGP -115.8354   31.3131 -31.50 0.10  29.88 0.20  0.000  -0.20 0.30
PVE3_CGP -118.4043   33.7433 -27.90 0.10  28.83 0.10  0.000  -0.20 0.10
REP3_CGP -116.4681   36.8413  -3.08 0.10   0.46 0.10  0.000  -0.20 0.30
REPO_CGP -116.4683   36.8404  -3.08 0.10   0.36 0.10  0.000  -0.20 0.10
RSTP_CGP -118.1929   34.8751 -11.25 0.10  14.76 0.10  0.000  -0.20 0.10
RYAN_CGP -116.6501   36.3163  -3.21 0.10   1.22 0.10  0.000  -0.20 0.10
TIVA_CGP -116.2297   36.9348  -2.94 0.10   0.09 0.10  0.000  -0.20 0.10
TORP_CGP -118.3306   33.7978 -27.29 0.10  28.10 0.10  0.000  -0.20 0.10
WOMT_CGP -116.9317   34.6690 -10.57 0.10  10.70 0.10  0.000  -0.20 0.10
